indicator,pattern,rate,tiers,seed,mape,flips,n_pairs,coverage,rel_width,n_participants,pds,flow_share
GHG,random,0.0,1,0,15.544150384097586,9.876543209876543,162,100.0,0.9725622129583203,0,0.20086052855262304,0.0
GHG,random,0.0,1,1,15.544150384097586,9.876543209876543,162,100.0,1.0151499108432511,0,0.20086052855262304,0.0
GHG,random,0.0,1,2,15.544150384097586,9.876543209876543,162,94.73684210526315,0.9403580877808984,0,0.20086052855262304,0.0
GHG,random,0.0,1,3,15.544150384097586,9.876543209876543,162,89.47368421052632,1.0364076486279572,0,0.20086052855262304,0.0
GHG,random,0.0,1,4,15.544150384097586,9.876543209876543,162,100.0,1.020035935106551,0,0.20086052855262304,0.0
GHG,random,0.0,1,5,15.544150384097586,9.876543209876543,162,100.0,1.0346586482398303,0,0.20086052855262304,0.0
GHG,random,0.0,1,6,15.544150384097586,9.876543209876543,162,94.73684210526315,1.0106777931081607,0,0.20086052855262304,0.0
GHG,random,0.0,1,7,15.544150384097586,9.876543209876543,162,100.0,1.017467788937766,0,0.20086052855262304,0.0
GHG,random,0.0,1,8,15.544150384097586,9.876543209876543,162,94.73684210526315,1.0405991126575065,0,0.20086052855262304,0.0
GHG,random,0.0,1,9,15.544150384097586,9.876543209876543,162,100.0,1.0139312420735136,0,0.20086052855262304,0.0
GHG,random,0.0,2,0,15.544150384097586,9.876543209876543,162,94.73684210526315,0.9466557675878214,0,0.20086052855262304,0.0
GHG,random,0.0,2,1,15.544150384097586,9.876543209876543,162,84.21052631578947,1.0399981767120097,0,0.20086052855262304,0.0
GHG,random,0.0,2,2,15.544150384097586,9.876543209876543,162,100.0,1.0041873006180475,0,0.20086052855262304,0.0
GHG,random,0.0,2,3,15.544150384097586,9.876543209876543,162,100.0,0.9984872688813065,0,0.20086052855262304,0.0
GHG,random,0.0,2,4,15.544150384097586,9.876543209876543,162,89.47368421052632,1.0205500947712738,0,0.20086052855262304,0.0
GHG,random,0.0,2,5,15.544150384097586,9.876543209876543,162,100.0,1.0213727073960088,0,0.20086052855262304,0.0
